,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Manchester United,27.0,5.0,80.0,51.0,2.0,696.0,260.0,16.0,12.0,6.0,6.0,64.0,16.0,7.0,100.0,21.0,22.0,4.0,96.0,446.0,978.0,2.0,2022.0,1140.0,0.0,1.0,1.0,17422.0,90.0,2417.0,0.0,936.0,261.0,26620.0,10.0,627.0,0.0,47.0,23.0
Chelsea,25.0,3.0,65.0,63.0,5.0,605.0,199.0,12.0,10.0,7.0,1.0,52.0,13.0,3.0,128.0,21.0,26.0,8.0,101.0,506.0,917.0,4.0,1687.0,851.0,0.0,3.0,3.0,17252.0,91.0,2154.0,0.0,945.0,253.0,26295.0,8.0,687.0,0.0,62.0,19.0
Arsenal,24.0,3.0,74.0,55.0,3.0,627.0,208.0,13.0,14.0,5.0,1.0,65.0,9.0,7.0,110.0,15.0,31.0,0.0,91.0,505.0,878.0,1.0,1840.0,926.0,2.0,4.0,3.0,18831.0,92.0,1946.0,0.0,888.0,234.0,28156.0,2.0,776.0,1.0,45.0,26.0
Liverpool,21.0,4.0,67.0,45.0,1.0,686.0,214.0,13.0,7.0,5.0,2.0,51.0,16.0,7.0,93.0,18.0,28.0,0.0,83.0,614.0,1089.0,2.0,1952.0,1060.0,2.0,5.0,4.0,16360.0,57.0,2761.0,0.0,932.0,237.0,25857.0,4.0,613.0,1.0,42.0,22.0
Everton,19.0,11.0,55.0,40.0,3.0,474.0,169.0,4.0,13.0,1.0,1.0,48.0,7.0,7.0,73.0,14.0,33.0,0.0,133.0,496.0,816.0,2.0,2136.0,1006.0,1.0,4.0,4.0,12397.0,28.0,2142.0,0.0,877.0,198.0,21360.0,8.0,620.0,0.0,55.0,20.0
Aston Villa,16.0,10.0,71.0,54.0,4.0,511.0,182.0,11.0,16.0,6.0,5.0,55.0,16.0,3.0,115.0,9.0,51.0,3.0,139.0,461.0,885.0,0.0,2220.0,1183.0,3.0,4.0,2.0,11438.0,30.0,1982.0,0.0,932.0,229.0,20734.0,6.0,655.0,2.0,40.0,14.0
Portsmouth,16.0,13.0,48.0,55.0,3.0,559.0,160.0,9.0,4.0,4.0,2.0,35.0,13.0,6.0,95.0,16.0,40.0,4.0,105.0,521.0,963.0,1.0,2103.0,1029.0,3.0,4.0,2.0,12794.0,37.0,2278.0,0.0,663.0,184.0,21907.0,4.0,683.0,2.0,77.0,28.0
Blackburn Rovers,15.0,10.0,50.0,72.0,6.0,530.0,185.0,14.0,11.0,5.0,1.0,40.0,10.0,3.0,95.0,8.0,48.0,3.0,116.0,550.0,833.0,3.0,2065.0,1003.0,1.0,6.0,4.0,13654.0,31.0,2283.0,0.0,883.0,196.0,22601.0,5.0,532.0,2.0,59.0,27.0
Manchester City,15.0,13.0,45.0,50.0,4.0,423.0,143.0,5.0,5.0,2.0,2.0,34.0,11.0,3.0,103.0,11.0,53.0,4.0,151.0,482.0,916.0,3.0,1852.0,819.0,2.0,4.0,2.0,15149.0,45.0,2289.0,0.0,695.0,156.0,23416.0,7.0,559.0,2.0,45.0,43.0
West Ham United,13.0,15.0,42.0,63.0,1.0,500.0,154.0,15.0,7.0,2.0,2.0,34.0,8.0,3.0,117.0,8.0,50.0,1.0,142.0,444.0,848.0,1.0,1952.0,978.0,1.0,6.0,2.0,13773.0,39.0,2376.0,0.0,910.0,207.0,22347.0,8.0,511.0,3.0,77.0,19.0
